Compared 252 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.28.self_attn.k_proj.weight                                 0.7933    0.0122    0.7161    0.8100
  model.layers.28.self_attn.o_proj.weight                                 0.7978    0.0053    0.7393    0.8580
  model.layers.28.self_attn.q_proj.weight                                 0.7964    0.0085    0.6306    0.8178
  model.layers.28.self_attn.v_proj.weight                                 0.7917    0.0073    0.7698    0.8126
  model.layers.29.mlp.down_proj.weight                                    0.7973    0.0055    0.7079    0.8068
  model.layers.29.mlp.gate_proj.weight                                    0.7979    0.0070    0.5976    0.8146
  model.layers.29.mlp.up_proj.weight                                      0.7980    0.0057    0.6419    0.8154
  model.layers.29.self_attn.k_proj.weight                                 0.7915    0.0120    0.7061    0.8090
  model.layers.29.self_attn.o_proj.weight                                 0.7974    0.0047    0.6965    0.8104
  model.layers.29.self_attn.q_proj.weight                                 0.7942    0.0109    0.6456    0.8128
  model.layers.29.self_attn.v_proj.weight                                 0.7795    0.0158    0.7309    0.8091
  model.layers.3.mlp.down_proj.weight                                     0.7859    0.0153    0.6375    0.8016
  model.layers.3.mlp.gate_proj.weight                                     0.7274    0.1335    0.3502    0.8210
  model.layers.3.mlp.up_proj.weight                                       0.7924    0.0096    0.6757    0.8335
  model.layers.3.self_attn.k_proj.weight                                  0.7934    0.0087    0.6954    0.8131
  model.layers.3.self_attn.o_proj.weight                                  0.7985    0.0041    0.7649    0.8209
  model.layers.3.self_attn.q_proj.weight                                  0.7935    0.0065    0.7583    0.8108
  model.layers.3.self_attn.v_proj.weight                                  0.7941    0.0050    0.7650    0.8113
  model.layers.30.mlp.down_proj.weight                                    0.7972    0.0061    0.6794    0.8072
  model.layers.30.mlp.gate_proj.weight                                    0.7979    0.0074    0.6320    0.8187
  model.layers.30.mlp.up_proj.weight                                      0.7981    0.0056    0.6630    0.8142
  model.layers.30.self_attn.k_proj.weight                                 0.7910    0.0173    0.6891    0.8123
  model.layers.30.self_attn.o_proj.weight                                 0.7977    0.0044    0.7354    0.8224
  model.layers.30.self_attn.q_proj.weight                                 0.7940    0.0145    0.5801    0.8203
  model.layers.30.self_attn.v_proj.weight                                 0.7839    0.0208    0.7121    0.8090
