Compared 252 tensors.
tensor                                                                  flip_frac
  model.layers.8.self_attn.o_proj.weight                                  0.2372
  model.layers.8.self_attn.q_proj.weight                                  0.2950
  model.layers.8.self_attn.v_proj.weight                                  0.1978
  model.layers.9.mlp.down_proj.weight                                     0.2264
  model.layers.9.mlp.gate_proj.weight                                     0.2626
  model.layers.9.mlp.up_proj.weight                                       0.2623
  model.layers.9.self_attn.k_proj.weight                                  0.2823
  model.layers.9.self_attn.o_proj.weight                                  0.2491
  model.layers.9.self_attn.q_proj.weight                                  0.3012
  model.layers.9.self_attn.v_proj.weight                                  0.2074

 depth     mean      min      max  n
     0    0.2579   0.2003   0.3041   7
     1    0.2810   0.2351   0.3778   7
     2    0.2936   0.2284   0.3732   7
     3    0.2712   0.2284   0.3345   7
     4    0.2522   0.2171   0.2903   7
     5    0.2547   0.2204   0.2935   7
     6    0.2501   0.2030   0.2957   7
     7    0.2550   0.2073   0.2988   7
     8    0.2495   0.1978   0.2950   7
     9    0.2559   0.2074   0.3012   7
    10    0.2517   0.1983   0.3011   7
    11    0.2539   0.2037   0.2985   7
    12    0.2578   0.2092   0.3034   7
    13    0.2562   0.2110   0.2907   7
    14    0.2549   0.2040   0.2973   7
    15    0.2600   0.2155   0.2953   7
    16    0.2603   0.2120   0.3021   7
    17    0.2632   0.2187   0.2977   7
    18    0.2578   0.2065   0.2885   7
    19    0.2673   0.2168   0.3088   7
    20    0.2627   0.2099   0.2940   7
    21    0.2663   0.2163   0.2960   7
    22    0.2697   0.2121   0.3136   7
    23    0.2643   0.2079   0.3006   7
    24    0.2732   0.2298   0.3038   7
    25    0.2774   0.2251   0.3193   7
    26    0.2766   0.2219   0.3186   7
    27    0.2825   0.2366   0.3273   7
    28    0.2781   0.2268   0.3161   7
    29    0.2859   0.2463   0.3181   7
    30    0.2869   0.2371   0.3406   7
    31    0.2892   0.2449   0.3381   7
    32    0.2944   0.2570   0.3385   7
    33    0.2898   0.2488   0.3250   7
    34    0.2953   0.2497   0.3378   7
    35    0.3047   0.2605   0.3508   7

OVERALL: mean=0.2695  median=0.2713  min=0.1978  max=0.3778
Random baseline (50/50 signs): 0.5000
Pure Gaussian sign-quant prediction (cos = sqrt(2/pi)≈0.798): flip ≈ (1-0.798)/2 ≈ 0.1010
