size=4B
gguf=/home/user/reversing-bonsai/models/bonsai/4B/gguf/Bonsai-4B-Q1_0.gguf
base=/home/user/reversing-bonsai/models/bonsai/4B/base
Indexing GGUF tensors...
  253 Q1_0 tensors indexed

Walking model-00001-of-00003.safetensors...
 23   0.699  0.721  0.792  0.760  0.706  0.715  0.758
 24   0.696  0.706  0.770  0.748  0.700  0.709  0.758
 25   0.681  0.712  0.775  0.729  0.700  0.706  0.755
 26   0.681  0.709  0.778  0.733  0.702  0.706  0.754
 27   0.673  0.699  0.763  0.724  0.703  0.706  0.754
 28   0.684  0.705  0.773  0.722  0.707  0.709  0.754
 29   0.682  0.686  0.738  0.724  0.707  0.708  0.754
 30   0.659  0.693  0.763  0.714  0.705  0.707  0.751
 31   0.662  0.683  0.755  0.718  0.704  0.707  0.747
 32   0.661  0.677  0.743  0.709  0.699  0.707  0.743
 33   0.675  0.675  0.751  0.732  0.692  0.706  0.740
 34   0.662  0.675  0.750  0.712  0.696  0.703  0.735
 35   0.649  0.663  0.740  0.706  0.693  0.695  0.721
