size=1.7B
gguf=/home/user/reversing-bonsai/models/bonsai/1.7B/gguf/Bonsai-1.7B-Q1_0.gguf
base=/home/user/reversing-bonsai/models/bonsai/1.7B/base
Indexing GGUF tensors...
  197 Q1_0 tensors indexed

Walking model-00001-of-00002.safetensors...
      down    28     0.7347    0.6815    0.7584      0.0000     0.0001

=== sign-match by layer (rows) and projection type (cols) ===
L          q      k      v      o   gate     up   down
  0   0.698  0.706  0.789  0.762  0.707  0.700  0.758
  1   0.709  0.712  0.758  0.746  0.732  0.670  0.745
  2   0.722  0.720  0.765  0.751  0.727  0.687  0.751
  3   0.712  0.713  0.767  0.745  0.731  0.696  0.746
  4   0.703  0.706  0.775  0.751  0.730  0.701  0.751
  5   0.705  0.710  0.763  0.747  0.713  0.712  0.748
  6   0.714  0.715  0.784  0.750  0.713  0.714  0.746
  7   0.697  0.701  0.779  0.755  0.716  0.708  0.744
  8   0.711  0.718  0.768  0.741  0.710  0.708  0.741
  9   0.702  0.703  0.774  0.752  0.708  0.710  0.743
 10   0.703  0.713  0.773  0.754  0.705  0.706  0.738
 11   0.715  0.711  0.771  0.741  0.703  0.712  0.741
 12   0.722  0.728  0.772  0.749  0.702  0.712  0.738
 13   0.722  0.719  0.771  0.747  0.703  0.709  0.733
 14   0.714  0.720  0.772  0.746  0.703  0.708  0.728
 15   0.702  0.710  0.769  0.742  0.702  0.706  0.726
 16   0.713  0.705  0.761  0.737  0.697  0.702  0.725
 17   0.713  0.707  0.783  0.760  0.699  0.703  0.731
 18   0.709  0.698  0.760  0.731  0.698  0.699  0.729
 19   0.697  0.689  0.748  0.738  0.694  0.696  0.735
 20   0.708  0.696  0.750  0.740  0.689  0.693  0.737
 21   0.705  0.689  0.748  0.737  0.692  0.697  0.738
 22   0.698  0.684  0.740  0.728  0.693  0.698  0.737
 23   0.687  0.678  0.742  0.726  0.694  0.696  0.729
 24   0.686  0.670  0.739  0.731  0.691  0.695  0.722
 25   0.692  0.673  0.747  0.734  0.684  0.694  0.717
 26   0.709  0.672  0.731  0.725  0.683  0.693  0.711
 27   0.682  0.644  0.712  0.681  0.688  0.689  0.682
