Compared 196 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.6.self_attn.q_proj.weight                                  0.7908    0.0115    0.6842    0.8142
  model.layers.6.self_attn.v_proj.weight                                  0.7876    0.0070    0.7695    0.8153
  model.layers.7.mlp.down_proj.weight                                     0.7881    0.0092    0.7111    0.8013
  model.layers.7.mlp.gate_proj.weight                                     0.7963    0.0124    0.6119    0.8204
  model.layers.7.mlp.up_proj.weight                                       0.7933    0.0102    0.6108    0.8112
  model.layers.7.self_attn.k_proj.weight                                  0.7940    0.0084    0.7112    0.8098
  model.layers.7.self_attn.o_proj.weight                                  0.7961    0.0061    0.7497    0.8133
  model.layers.7.self_attn.q_proj.weight                                  0.7926    0.0106    0.7193    0.8521
  model.layers.7.self_attn.v_proj.weight                                  0.7865    0.0081    0.7467    0.8047
  model.layers.8.mlp.down_proj.weight                                     0.7876    0.0115    0.6616    0.8009
  model.layers.8.mlp.gate_proj.weight                                     0.7953    0.0131    0.4536    0.8141
  model.layers.8.mlp.up_proj.weight                                       0.7928    0.0095    0.5689    0.8121
  model.layers.8.self_attn.k_proj.weight                                  0.7892    0.0222    0.6045    0.8228
  model.layers.8.self_attn.o_proj.weight                                  0.7969    0.0052    0.7715    0.8161
  model.layers.8.self_attn.q_proj.weight                                  0.7887    0.0238    0.5725    0.8125
  model.layers.8.self_attn.v_proj.weight                                  0.7895    0.0057    0.7707    0.8080
  model.layers.9.mlp.down_proj.weight                                     0.7861    0.0093    0.6551    0.7992
  model.layers.9.mlp.gate_proj.weight                                     0.7948    0.0137    0.5470    0.8171
  model.layers.9.mlp.up_proj.weight                                       0.7929    0.0114    0.5528    0.8134
  model.layers.9.self_attn.k_proj.weight                                  0.7884    0.0236    0.5563    0.8117
  model.layers.9.self_attn.o_proj.weight                                  0.7952    0.0140    0.7338    0.9573
  model.layers.9.self_attn.q_proj.weight                                  0.7885    0.0134    0.6218    0.8090
  model.layers.9.self_attn.v_proj.weight                                  0.7821    0.0090    0.7182    0.8049

 depth     mean      min      max
     0    0.7929   0.7915   0.7957
     1    0.7880   0.7688   0.7954
     2    0.7925   0.7874   0.7976
     3    0.7925   0.7890   0.7969
     4    0.7925   0.7891   0.7962
     5    0.7914   0.7794   0.7990
     6    0.7918   0.7870   0.7967
     7    0.7924   0.7865   0.7963
     8    0.7914   0.7876   0.7969
     9    0.7897   0.7821   0.7952
    10    0.7899   0.7794   0.7952
    11    0.7872   0.7770   0.7947
    12    0.7902   0.7840   0.7954
    13    0.7902   0.7831   0.7949
    14    0.7885   0.7813   0.7956
    15    0.7877   0.7782   0.7951
    16    0.7847   0.7765   0.7950
    17    0.7876   0.7824   0.7937
    18    0.7874   0.7821   0.7944
    19    0.7842   0.7704   0.7935
    20    0.7841   0.7695   0.7932
    21    0.7870   0.7708   0.7937
    22    0.7888   0.7747   0.7963
    23    0.7887   0.7724   0.7965
    24    0.7881   0.7735   0.7965
    25    0.7884   0.7752   0.7965
    26    0.7895   0.7781   0.7959
    27    0.7932   0.7844   0.7969

PTQ(base) row cosine vs base:
  mean = 0.7893
  median = 0.7905
  range = [0.7688, 0.7990]
  prediction sqrt(2/pi) ≈ 0.7979 (Gaussian ideal)
