Indexing GGUF tensors...
  254 Q1_0 tensors indexed

Walking model-00001-of-00005.safetensors...
  L 30 down      sign=0.7849  scale=0.0000  byte=0.0002
  L 30 gate      sign=0.7266  scale=0.0000  byte=0.0000
  L 30 up        sign=0.7360  scale=0.0000  byte=0.0000
  L 30 k         sign=0.7088  scale=0.0000  byte=0.0000
  L 30 o         sign=0.7405  scale=0.0002  byte=0.0037
  L 30 q         sign=0.6960  scale=0.0001  byte=0.0076
  L 30 v         sign=0.7771  scale=0.0000  byte=0.0000
  L 31 down      sign=0.7836  scale=0.0000  byte=0.0002
  L 31 gate      sign=0.7272  scale=0.0000  byte=0.0000
  L 31 up        sign=0.7378  scale=0.0000  byte=0.0000
  L 31 k         sign=0.6965  scale=0.0000  byte=0.0000
  L 31 o         sign=0.7469  scale=0.0000  byte=0.0008
  L 31 q         sign=0.7004  scale=0.0003  byte=0.0135
  L 31 v         sign=0.7711  scale=0.0000  byte=0.0000
  L 32 down      sign=0.7815  scale=0.0000  byte=0.0002
  L 32 gate      sign=0.7259  scale=0.0000  byte=0.0000
  L 32 up        sign=0.7392  scale=0.0000  byte=0.0001
  L 32 k         sign=0.6946  scale=0.0000  byte=0.0000
  L 32 o         sign=0.7448  scale=0.0000  byte=0.0008
  L 32 q         sign=0.7076  scale=0.0006  byte=0.0230
  L 32 v         sign=0.7622  scale=0.0000  byte=0.0000
  L 33 down      sign=0.7814  scale=0.0000  byte=0.0001
  L 33 gate      sign=0.7213  scale=0.0000  byte=0.0000
  L 33 up        sign=0.7388  scale=0.0000  byte=0.0000
  L 33 k         sign=0.6921  scale=0.0000  byte=0.0000
  L 33 o         sign=0.7649  scale=0.0000  byte=0.0010
  L 33 q         sign=0.7141  scale=0.0001  byte=0.0046
  L 33 v         sign=0.7704  scale=0.0000  byte=0.0000
  L 34 down      sign=0.7819  scale=0.0000  byte=0.0002
  L 34 gate      sign=0.7240  scale=0.0000  byte=0.0000
  L 34 up        sign=0.7424  scale=0.0000  byte=0.0001
  L 34 k         sign=0.7016  scale=0.0000  byte=0.0003
  L 34 o         sign=0.7747  scale=0.0012  byte=0.0469
  L 34 q         sign=0.7296  scale=0.0014  byte=0.0563
  L 34 v         sign=0.7765  scale=0.0000  byte=0.0000
  L 35 down      sign=0.8113  scale=0.0000  byte=0.0000
  L 35 gate      sign=0.7585  scale=0.0001  byte=0.0026
  L 35 up        sign=0.7805  scale=0.0001  byte=0.0029
  L 35 k         sign=0.6834  scale=0.0000  byte=0.0014
  L 35 o         sign=0.8160  scale=0.0042  byte=0.1607
  L 35 q         sign=0.7262  scale=0.0027  byte=0.1050
  L 35 v         sign=0.7632  scale=0.0000  byte=0.0000

Walking model-00005-of-00005.safetensors...
  L -1 lm_head   sign=0.8992  scale=0.0172  byte=0.3365

=== per-projection-type summary across all 254 tensors ===
      type     n  sign_mean  sign_min  sign_max  scale_mean  byte_mean
     embed     1     0.9994    0.9994    0.9994      0.3389     0.9994
   lm_head     1     0.8992    0.8992    0.8992      0.0172     0.3365
         q    36     0.7298    0.6960    0.7712      0.0003     0.0112
         k    36     0.7331    0.6834    0.7704      0.0000     0.0004
         v    36     0.7921    0.7527    0.8159      0.0000     0.0000
         o    36     0.7643    0.7394    0.8160      0.0002     0.0073
      gate    36     0.7292    0.6313    0.7879      0.0001     0.0038
        up    36     0.7347    0.6246    0.7805      0.0000     0.0002
      down    36     0.7773    0.6617    0.8291      0.0000     0.0006

=== sign-match by layer (rows) and projection type (cols) ===
L          q      k      v      o   gate     up   down
  0   0.752  0.770  0.801  0.774  0.758  0.752  0.829
  1   0.762  0.765  0.799  0.780  0.655  0.629  0.678
  2   0.764  0.767  0.799  0.777  0.631  0.625  0.662
  3   0.771  0.758  0.801  0.777  0.675  0.659  0.704
  4   0.755  0.763  0.806  0.779  0.788  0.725  0.802
  5   0.753  0.759  0.801  0.773  0.775  0.747  0.799
  6   0.748  0.761  0.814  0.776  0.773  0.754  0.811
  7   0.753  0.754  0.812  0.770  0.762  0.751  0.798
  8   0.743  0.754  0.816  0.774  0.754  0.760  0.802
  9   0.742  0.739  0.810  0.765  0.758  0.761  0.797
 10   0.733  0.744  0.812  0.770  0.755  0.761  0.799
 11   0.734  0.745  0.810  0.769  0.748  0.758  0.795
 12   0.730  0.736  0.805  0.768  0.743  0.757  0.791
 13   0.742  0.742  0.802  0.763  0.739  0.754  0.786
 14   0.729  0.745  0.804  0.768  0.735  0.752  0.785
 15   0.733  0.743  0.795  0.759  0.730  0.745  0.778
 16   0.721  0.743  0.797  0.759  0.729  0.745  0.782
 17   0.726  0.737  0.790  0.763  0.726  0.741  0.773
 18   0.733  0.749  0.800  0.766  0.725  0.739  0.769
 19   0.715  0.728  0.793  0.759  0.723  0.738  0.767
 20   0.727  0.734  0.796  0.762  0.722  0.737  0.766
 21   0.727  0.738  0.792  0.756  0.717  0.735  0.764
 22   0.711  0.724  0.794  0.762  0.714  0.733  0.770
 23   0.722  0.730  0.797  0.771  0.716  0.731  0.776
 24   0.725  0.718  0.773  0.763  0.714  0.728  0.777
 25   0.708  0.721  0.783  0.743  0.715  0.728  0.777
 26   0.709  0.721  0.787  0.751  0.718  0.729  0.779
 27   0.703  0.711  0.774  0.743  0.720  0.731  0.780
 28   0.716  0.716  0.781  0.739  0.723  0.733  0.781
 29   0.714  0.698  0.753  0.749  0.726  0.735  0.785
 30   0.696  0.709  0.777  0.740  0.727  0.736  0.785
 31   0.700  0.696  0.771  0.747  0.727  0.738  0.784
 32   0.708  0.695  0.762  0.745  0.726  0.739  0.782
 33   0.714  0.692  0.770  0.765  0.721  0.739  0.781
 34   0.730  0.702  0.776  0.775  0.724  0.742  0.782
 35   0.726  0.683  0.763  0.816  0.758  0.780  0.811
